City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
SANLIURFA,21.6,25.5,29.5,36.4,40.3,44.1,46.8,46.2,42.1,37.8,30.8,26.0,46.8
USAK,18.3,23.6,27.0,30.0,33.2,36.6,40.2,38.2,36.5,32.6,26.0,21.8,40.2
VAN,12.6,14.3,22.7,27.2,28.3,33.5,37.5,36.7,35.0,28.8,20.1,15.5,37.5
YOZGAT,15.4,18.5,25.0,29.5,31.4,33.1,38.8,37.4,34.6,30.1,22.9,18.2,38.8
ZONGULDAK,24.1,26.7,31.7,33.6,36.7,40.5,39.5,39.8,36.2,35.9,29.9,28.1,40.5
AKSARAY,19.4,21.8,29.0,31.8,34.1,36.9,40.0,38.8,37.3,34.5,29.5,22.0,40.0
BAYBURT,10.3,13.9,21.2,25.3,29.6,32.9,37.0,38.4,33.7,28.8,20.0,18.2,38.4
KARAMAN,21.2,22.3,28.7,32.3,34.4,37.5,40.4,40.4,37.9,33.2,25.8,22.3,40.4
KIRIKKALE,17.0,21.4,30.4,32.0,36.0,37.6,41.8,40.3,38.2,33.0,24.8,19.0,41.8
BATMAN,18.6,24.6,30.6,35.8,42.0,45.1,48.8,46.2,43.8,37.0,28.6,22.6,48.8
SIRNAK,18.1,17.3,24.8,29.0,31.4,37.5,40.4,40.3,37.1,31.3,22.6,22.5,40.4
BARTIN,23.2,27.2,31.6,34.1,39.1,38.0,42.8,41.3,40.5,37.1,29.0,27.7,42.8
ARDAHAN,11.0,11.0,18.4,25.0,26.6,29.1,34.3,35.0,31.3,26.0,18.2,14.3,35.0
IGDIR,18.3,22.2,29.5,33.4,35.0,39.2,41.5,42.0,38.4,33.0,26.2,22.2,42.0
YALOVA,25.0,27.2,32.0,36.5,37.0,42.1,39.2,40.2,37.5,36.6,29.7,27.4,42.1
KARABUK,22.1,24.8,32.5,34.9,38.8,40.6,44.0,44.1,40.8,37.2,27.0,23.7,44.1
KILIS,20.9,25.1,28.8,35.4,40.2,42.5,44.2,45.0,41.4,36.5,29.9,26.3,45.0
OSMANIYE,23.7,28.0,32.0,36.5,41.7,42.6,42.8,43.6,41.2,38.4,31.0,29.0,43.6
DUZCE,24.5,26.9,32.2,34.7,39.0,39.0,42.4,42.0,38.7,38.2,30.2,29.2,42.4
