City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
SAKARYA,6.2,6.3,8.5,13.0,17.4,21.8,23.6,23.5,19.8,15.7,11.2,8.2,14.6
SAMSUN,7.2,6.7,7.9,11.1,15.4,20.3,23.5,23.9,20.2,16.2,12.0,9.1,14.5
SIIRT,3.0,4.2,8.5,14.1,19.6,26.2,30.6,30.0,25.1,18.1,10.2,4.9,16.2
SINOP,7.0,6.3,7.5,10.6,14.9,19.9,23.0,23.4,20.1,16.3,12.1,9.0,14.2
SIVAS,-3.0,-2.2,3.1,9.2,13.6,17.4,20.4,20.5,16.5,11.0,4.3,-0.5,9.2
TEKIRDAG,5.0,5.1,7.5,11.9,16.8,21.5,24.0,24.0,20.0,15.5,10.5,7.0,14.1
TOKAT,2.1,3.1,7.3,12.6,16.4,19.9,22.5,22.7,19.0,13.8,7.5,3.7,12.5
TRABZON,7.3,7.0,8.5,11.8,15.8,20.5,23.4,23.7,20.4,16.6,12.2,9.3,14.7
TUNCELI,-1.5,0.0,5.7,12.1,17.1,22.8,27.4,27.0,21.6,14.7,6.8,1.3,12.9
SANLIURFA,5.9,6.9,11.1,16.4,22.5,28.5,32.2,31.4,26.9,20.4,12.6,7.5,18.5
USAK,2.6,2.9,6.3,11.0,16.1,20.6,23.9,23.9,19.3,13.6,7.7,4.2,12.7
VAN,-3.1,-2.4,1.9,8.1,13.2,18.6,22.5,22.1,17.5,11.2,4.4,-0.4,9.5
YOZGAT,-1.7,-1.0,2.9,8.5,13.1,16.9,19.8,20.0,15.8,10.4,4.3,0.4,9.1
ZONGULDAK,6.2,5.7,7.5,11.3,15.5,19.8,22.1,22.1,18.8,15.1,11.2,8.2,13.6
AKSARAY,0.7,1.7,6.3,11.7,16.4,20.7,24.0,23.7,18.8,13.3,6.9,2.5,12.2
BAYBURT,-6.2,-5.3,0.3,7.0,11.7,15.6,19.1,19.0,14.8,9.4,2.4,-3.2,7.1
KARAMAN,0.4,1.2,5.9,11.5,16.3,20.7,23.8,23.4,18.9,13.0,6.5,2.4,12.0
KIRIKKALE,0.8,2.2,6.8,12.3,17.1,21.4,24.7,24.5,19.8,13.8,6.7,2.4,12.7
BATMAN,3.1,5.2,9.8,15.0,20.2,27.0,31.4,30.5,25.1,18.1,10.1,4.7,16.7
SIRNAK,1.7,2.6,7.1,12.0,17.6,24.5,28.7,28.5,23.4,16.8,8.9,4.3,14.7
BARTIN,4.2,4.4,6.9,11.1,15.5,19.7,22.1,21.9,17.7,13.7,8.9,5.8,12.7
ARDAHAN,-11.1,-9.8,-3.4,4.5,9.3,13.0,16.4,16.4,12.4,6.9,-0.2,-7.7,3.9
IGDIR,-3.2,-0.2,6.7,13.4,17.6,22.5,26.1,25.4,20.2,13.1,5.8,-0.3,12.3
YALOVA,6.7,6.6,8.4,12.6,17.2,21.7,24.0,24.0,20.3,16.0,11.4,8.6,14.8
KARABUK,3.1,4.4,7.7,12.5,17.3,21.0,24.0,24.0,19.3,14.2,8.0,4.6,13.3
KILIS,6.0,6.9,10.7,15.6,20.8,25.4,28.2,28.1,25.0,19.8,12.5,7.5,17.2
OSMANIYE,8.4,9.7,12.6,16.8,21.0,25.2,27.8,28.4,25.3,20.6,13.8,9.6,18.3
DUZCE,4.0,4.9,7.6,12.3,16.6,20.5,22.6,22.6,18.8,14.4,9.2,5.9,13.3
