City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
SANLIURFA,-10.6,-12.4,-7.3,-3.2,2.5,8.3,15.0,16.0,10.0,1.9,-6.0,-6.4,-12.4
USAK,-19.9,-15.0,-12.5,-6.2,-1.0,2.9,7.4,6.8,2.0,-4.8,-11.8,-18.9,-19.9
VAN,-28.7,-28.2,-22.7,-13.1,-3.5,-2.6,3.6,5.0,-0.1,-14.0,-18.6,-21.3,-28.7
YOZGAT,-23.7,-24.4,-20.6,-12.6,-3.0,-0.4,3.0,3.7,-2.4,-6.8,-18.5,-20.2,-24.4
ZONGULDAK,-7.7,-8.0,-6.4,-2.1,3.0,8.8,11.2,10.0,5.9,1.8,-3.2,-7.4,-8.0
AKSARAY,-26.4,-29.0,-19.0,-7.5,-0.2,2.9,6.8,5.9,1.0,-6.0,-14.0,-21.9,-29.0
BAYBURT,-31.3,-27.6,-28.3,-12.7,-4.4,-1.6,0.2,2.4,-2.1,-10.6,-23.6,-29.0,-31.3
KARAMAN,-26.8,-28.0,-20.2,-8.3,-3.1,3.1,6.4,3.6,-1.0,-8.5,-21.2,-26.1,-28.0
KIRIKKALE,-22.4,-21.6,-19.8,-6.8,0.4,4.6,7.4,7.2,2.7,-5.0,-9.7,-18.0,-22.4
BATMAN,-24.0,-22.2,-17.0,-9.0,0.9,0.0,11.8,11.5,4.4,-3.0,-7.6,-23.0,-24.0
SIRNAK,-14.5,-13.2,-11.2,-4.7,0.8,9.2,13.1,15.0,3.2,-0.5,-5.0,-10.8,-14.5
BARTIN,-15.4,-18.6,-13.1,-4.5,-1.3,5.3,8.0,6.7,1.5,-3.2,-5.6,-10.6,-18.6
ARDAHAN,-39.8,-38.7,-33.2,-19.0,-8.5,-4.5,-2.2,-2.8,-5.8,-15.0,-28.9,-36.3,-39.8
IGDIR,-28.4,-28.0,-22.2,-7.6,0.1,2.4,8.0,7.2,1.6,-7.0,-15.6,-30.3,-30.3
YALOVA,-9.6,-11.0,-7.4,-1.6,1.2,7.1,10.0,10.3,6.0,1.3,-3.2,-9.2,-11.0
KARABUK,-15.1,-14.2,-9.2,-5.8,0.1,0.7,8.9,8.9,3.4,-3.1,-6.4,-12.0,-15.1
KILIS,-12.0,-12.0,-6.8,-4.4,1.5,7.4,13.1,12.9,8.5,0.4,-4.4,-8.0,-12.0
OSMANIYE,-8.5,-6.8,-4.0,0.1,4.6,11.5,15.0,15.0,7.8,4.1,-4.5,-5.4,-8.5
DUZCE,-20.5,-17.3,-13.6,-3.0,0.4,6.6,8.8,7.6,4.5,-1.2,-6.8,-16.5,-20.5
